1 0.0335067  0.248673 2.36984 0.196355 0.252514 2.34577
1 0.234141  0.340547 2.07921 0.0803324 0.213418 2.06396
2 0.218674  0.210082 2.27148 0.106646 0.121464 2.26326
3 0.125205  0.250061 1.66181 0.0258062 0.0107255 1.65822
4 0.291111  0.112215 1.52208 0.059499 0.0621978 1.51596
5 0.21675  0.26291 2.69335 -0.0261633 0.189974 2.68444
6 0.434332  0.137228 2.75443 0.295902 0.0631585 2.73573
7 0.129284  0.214646 0.919622 -0.0401858 0.0284691 0.912203
8 0.224519  0.0351909 2.36252 0.105654 0.0726155 2.35667
9 0.165057  0.299716 1.61905 0.102392 0.123876 1.60758
10 0.139406  0.217477 1.40118 0.00109258 0.228568 1.37837
